,Sexo,Edad,Casado,Numero Dependientes,Recomendaciones realizadas,Meses como Cliente,Plan,Cargo Mensual LLamadas,Multiples lineas,Servicio Internet,GB mensuales consumidos,Servicio Adicional Antivirus,Servicio Respaldo en la Nube,Seguro Proteccion Equipo,Servicio Soporte Premium,Usa Streaming TV,Usa Streaming Peliculas,Usa Streaming Musica,Plan Ilimitado Datos,Tipo Contrato,Cobro Mensual,Historico de Devoluciones ,Historico Cargos extra datos,Historico Cargos Llamadas,Historico Cobro Acumulado   ,Fugado,Causa Fuga
1326,Mujer,46,Si,0,7,65,Ninguno,5319.6,No,Si,21,No,No,No,Si,Si,No,No,Si,Otro mas largo,31096,0,0,345774,2326038,No,
1327,Hombre,47,Si,0,3,7,Plan E,,,Si,25.5,Si,Si,No,No,No,No,No,Si,Mensual,17784,0,0,0,133432,No,
1328,Mujer,69,Si,0,1,1,Ninguno,4024.8,No,Si,28.5,No,No,No,No,No,No,No,Si,Mensual,23920,0,0,4024.8,27944.8,Si,Mejor la Competencia
1329,Mujer,72,No,0,0,1,Ninguno,10686,No,Si,7.5,No,Si,No,No,No,No,No,Si,Mensual,37960,0,0,10686,48646,Si,Mejor la Competencia
1330,Mujer,68,No,0,0,3,Ninguno,12386.4,Si,Si,45,No,No,No,No,No,No,No,Si,Mensual,39026,0,0,37159.2,170409.2,Si,Mejor la Competencia
1331,Mujer,44,No,0,0,2,Ninguno,4326.4,No,Si,24,No,No,No,No,Si,No,No,Si,Mensual,41470,0,0,8652.8,94192.8,Si,Mejor la Competencia
1332,Mujer,27,Si,2,1,23,Ninguno,13280.8,Si,No,,,,,,,,,,Otro mas largo,13312,0,0,305458.4,573128.4,No,
1333,Mujer,21,Si,0,1,70,Plan A,21777.6,Si,Si,88.5,No,Si,Si,Si,Si,Si,Si,No,Anual,56940,0,78000,1524432,5593198,Si,Servicio Cliente
1334,Mujer,47,No,0,0,29,Ninguno,2355.6,Si,No,,,,,,,,,,Mensual,13078,0,0,68312.4,433352.4,No,
1335,Mujer,44,No,0,0,43,Plan B,3489.2,No,No,,,,,,,,,,Otro mas largo,10218,0,0,150035.6,555245.6,No,
1336,Hombre,73,No,0,0,18,Plan D,24616.8,Si,Si,10.5,Si,Si,No,No,No,No,No,Si,Otro mas largo,30368,0,0,443102.4,944850.4,No,
1337,Mujer,46,Si,0,0,71,Ninguno,23316.8,Si,No,,,,,,,,,,Otro mas largo,13026,0,0,1655492.8,2629816.8,No,
1338,Hombre,75,Si,0,1,27,Ninguno,5512,Si,Si,34.5,No,No,No,No,No,No,No,Si,Mensual,39260,0,0,148824,1133678,Si,Mejor la Competencia
1339,Mujer,45,No,0,0,9,Plan E,16265.6,No,No,,,,,,,,,,Mensual,9906,0,0,146390.4,228368.4,No,
1340,Mujer,72,Si,0,10,48,Ninguno,6552,No,Si,31.5,No,No,No,No,No,No,No,Si,Anual,36738,0,0,314496,2157922,No,
1341,Mujer,36,No,0,0,27,Ninguno,10493.6,No,No,,,,,,,,,,Anual,9958,0,0,283327.2,544029.2,No,
1342,Mujer,67,Si,0,1,70,Plan A,9708.4,Si,Si,31.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,47944,0,0,679588,4046302,No,
1343,Mujer,51,No,0,0,58,Plan B,24284,Si,Si,28.5,Si,Si,Si,No,Si,Si,Si,Si,Anual,56030,0,0,1408472,4701502,No,
1344,Mujer,23,No,0,0,60,Ninguno,18444.4,Si,Si,76.5,No,Si,Si,No,Si,Si,Si,No,Otro mas largo,54444,0,78000,1106664,4478240,No,
1345,Hombre,51,No,0,0,46,Ninguno,19500,Si,Si,33,No,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,56498,0,0,897000,3446664,No,
1346,Mujer,24,No,0,0,1,Plan E,13582.4,No,No,,,,,,,,,,Mensual,10660,0,0,13582.4,24242.4,Si,Por Precio
1347,Hombre,62,No,0,0,66,Plan A,13426.4,No,Si,39,No,Si,Si,No,Si,Si,Si,Si,Mensual,51740,0,0,886142.4,4375602.4,Si,Otra
1348,Mujer,44,No,0,0,1,Plan E,23368.8,No,Si,24,No,No,No,No,No,Si,Si,Si,Mensual,42614,0,0,23368.8,65982.8,Si,Mejor la Competencia
1349,Mujer,26,Si,1,1,8,Ninguno,22188.4,No,No,,,,,,,,,,Otro mas largo,9906,0,0,177507.2,282391.2,No,
1350,Mujer,51,Si,1,10,68,Plan A,24237.2,No,No,,,,,,,,,,Otro mas largo,10062,0,0,1648129.6,2320307.6,No,
1351,Hombre,59,No,0,0,18,Plan D,,,Si,39,No,Si,Si,No,No,No,No,Si,Mensual,17420,0,0,0,312000,Si,Disconforme
1352,Mujer,78,Si,0,1,11,Plan D,665.6,Si,Si,21,No,No,Si,No,Si,Si,No,Si,Mensual,51766,0,0,7321.6,595545.6,Si,Mejor la Competencia
1353,Mujer,27,No,0,0,1,Ninguno,847.6,No,Si,88.5,No,Si,No,No,Si,No,No,No,Mensual,43836,0,5200,847.6,49883.6,Si,Mejor la Competencia
1354,Mujer,45,No,0,0,46,Plan B,14544.4,Si,Si,33,No,No,Si,No,Si,Si,Si,Si,Anual,52572,0,0,669042.4,3099730.4,No,
1355,Mujer,55,No,0,0,8,Ninguno,12199.2,No,No,,,,,,,,,,Otro mas largo,10400,0,0,97593.6,171225.6,No,
1356,Hombre,32,Si,3,10,9,Plan E,23072.4,No,Si,85.5,No,No,Si,Si,Si,Si,Si,Si,Mensual,53612,9682.4,0,207651.6,702603.2,No,
1358,Hombre,35,Si,0,4,63,Ninguno,1414.4,Si,Si,33,No,No,Si,No,Si,Si,Si,Si,Otro mas largo,53352,0,0,89107.2,3363417.2,No,
1359,Hombre,42,No,0,0,18,Plan D,17243.2,No,No,,,,,,,,,,Mensual,9880,0,0,310377.6,491753.6,No,
1360,Mujer,23,No,0,0,1,Plan E,11523.2,No,Si,70.5,No,No,Si,No,No,No,No,No,Mensual,38792,0,5200,11523.2,55515.2,Si,Mejor la Competencia
1361,Hombre,31,No,0,0,13,Ninguno,12552.8,Si,Si,31.5,No,No,No,Si,Si,Si,Si,Si,Mensual,51480,0,0,163186.4,840070.4,Si,Por Precio
1362,Mujer,54,No,0,0,7,Ninguno,9989.2,No,Si,24,No,No,No,No,No,Si,Si,No,Mensual,41236,0,5200,69924.4,347162.4,Si,Mejor la Competencia
1363,Hombre,45,Si,3,1,18,Ninguno,14580.8,No,Si,42,No,No,No,Si,No,Si,Si,Si,Mensual,44512,0,0,262454.4,1095234.4,No,
1364,Hombre,28,Si,3,1,37,Ninguno,18548.4,No,Si,114,Si,No,Si,Si,No,No,No,Si,Anual,30550,0,0,686290.8,1831902.8,No,
1365,Hombre,44,No,0,0,12,Ninguno,13098.8,Si,Si,18,No,Si,Si,No,Si,Si,Si,Si,Mensual,55484,0,0,157185.6,809213.6,Si,Servicio Cliente
1366,Mujer,64,No,0,0,43,Plan B,,,Si,18,No,No,Si,No,Si,Si,Si,Si,Mensual,25506,10550.8,0,0,1069073.2,Si,Mejor la Competencia
1367,Mujer,49,Si,0,10,63,Plan B,10592.4,Si,Si,39,No,Si,Si,Si,Si,Si,Si,Si,Mensual,56550,0,0,667321.2,4240605.2,No,
1368,Hombre,54,Si,3,1,6,Ninguno,21507.2,No,No,,,,,,,,,,Otro mas largo,10608,0,0,129043.2,184995.2,No,
1369,Hombre,73,No,0,0,24,Ninguno,1679.6,Si,Si,39,No,Si,Si,No,Si,Si,No,Si,Mensual,53534,0,0,40310.4,1338594.4,Si,Servicio Cliente
1370,Mujer,47,No,0,0,2,Plan E,5475.6,No,Si,12,No,No,No,No,Si,Si,Si,Si,Mensual,47008,0,0,10951.2,98415.2,Si,Otra
1371,Hombre,25,Si,0,1,38,Ninguno,25844,Si,Si,45,No,Si,Si,No,Si,No,No,Si,Mensual,49218,0,0,982072,2866708,Si,Otra
1372,Hombre,24,Si,0,1,33,Plan C,21736,No,Si,61.5,No,No,Si,No,Si,Si,Si,No,Anual,49816,0,31200,717288,2327598,Si,Mejor la Competencia
1373,Mujer,35,No,0,0,48,Ninguno,5460,Si,Si,18,No,No,Si,Si,Si,Si,Si,Si,Mensual,-2080,0,0,262080,2834026,No,
1374,Hombre,63,No,0,0,4,Ninguno,23067.2,No,Si,30,No,No,Si,No,No,Si,Si,Si,Mensual,44746,0,0,92268.8,252480.8,No,
1375,Mujer,48,No,0,0,29,Plan C,7144.8,Si,Si,3,Si,Si,No,Si,No,No,No,Si,Mensual,35074,0,0,207199.2,1143771.2,No,
1376,Hombre,50,No,0,0,27,Ninguno,10550.8,No,Si,31.5,Si,Si,No,No,No,No,No,Si,Anual,28834,0,0,284871.6,1053249.6,No,
1377,Hombre,51,Si,0,8,65,Plan B,21616.4,Si,Si,24,No,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,43784,0,0,1405066,4173806,No,
1378,Hombre,24,No,0,0,31,Ninguno,8933.6,Si,Si,114,No,No,No,Si,No,No,No,Si,Anual,42484,0,0,276941.6,1602239.6,No,
1379,Mujer,56,Si,0,3,49,Ninguno,23301.2,Si,Si,15,Si,No,No,No,Si,Si,Si,Si,Mensual,52442,0,0,1141758.8,3662380.8,No,
1380,Hombre,51,Si,1,0,72,Plan A,12974,Si,Si,19.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,59514,0,0,934128,5146414,No,
1381,Mujer,37,No,0,0,5,Ninguno,23285.6,Si,Si,43.5,No,Si,No,No,No,Si,Si,Si,Mensual,33280,0,0,116428,308958,No,
1383,Mujer,80,No,0,0,33,Ninguno,,,Si,24,Si,Si,Si,No,Si,Si,No,Si,Otro mas largo,30914,0,0,0,980018,No,
1385,Mujer,48,Si,1,7,65,Ninguno,1534,Si,No,,,,,,,,,,Otro mas largo,13520,0,0,99710,960232,No,
1386,Mujer,32,No,0,0,60,Ninguno,8377.2,Si,Si,27,No,No,Si,Si,Si,Si,Si,Si,Anual,41886,0,0,502632,3023098,No,
1387,Hombre,65,Si,0,1,63,Ninguno,21138,No,Si,43.5,Si,Si,Si,Si,Si,Si,Si,Si,Anual,43680,0,0,1331694,4103060,No,
1388,Mujer,71,No,0,0,3,Plan E,1175.2,No,Si,4.5,No,No,No,No,No,No,No,Si,Mensual,36608,0,0,3525.6,109969.6,Si,Otra
1389,Mujer,75,Si,0,5,55,Ninguno,15355.6,Si,Si,43.5,No,No,No,No,No,No,No,Si,Anual,26858,0,0,844558,2320604,No,
1390,Hombre,56,Si,2,9,68,Ninguno,4617.6,No,Si,25.5,No,Si,Si,Si,Si,Si,Si,Si,Anual,54990,0,0,313996.8,4121696.8,No,
1391,Mujer,70,Si,0,10,72,Ninguno,14606.8,Si,Si,30,Si,Si,Si,Si,No,No,No,Si,Otro mas largo,50232,0,0,1051689.6,4601989.6,No,
1392,Mujer,50,Si,0,3,21,Plan D,21954.4,Si,Si,43.5,No,No,No,No,No,Si,Si,Si,Mensual,44980,0,0,461042.4,1401566.4,Si,Mejor la Competencia
1393,Hombre,32,No,0,0,5,Plan E,16192.8,No,Si,7.5,No,No,No,No,No,No,No,Si,Mensual,36270,0,0,80964,249756,Si,Mejor la Competencia
1394,Mujer,57,Si,0,1,37,Ninguno,23498.8,No,No,,,,,,,,,,Mensual,10140,0,0,869455.6,1288159.6,No,
1395,Mujer,47,No,0,0,29,Ninguno,21517.6,Si,Si,6,No,No,No,No,Si,Si,Si,Si,Anual,36920,0,0,624010.4,1705662.4,No,
1396,Mujer,41,Si,0,4,64,Ninguno,4472,Si,Si,31.5,No,Si,Si,Si,Si,Si,Si,Si,Mensual,57798,0,0,286208,3901976,No,
1397,Hombre,61,No,0,0,46,Plan B,15730,No,No,,,,,,,,,,Otro mas largo,10426,0,0,723580,1192620,No,
1398,Mujer,77,No,2,0,7,Plan E,14014,No,Si,27,Si,No,No,No,No,No,No,No,Mensual,39754,5746,0,98098,354224,Si,Por Precio
1399,Mujer,66,No,0,0,23,Ninguno,4534.4,Si,Si,27,No,No,Si,No,No,No,No,Si,Otro mas largo,41262,8013.2,0,104291.2,1050634,No,
1400,Hombre,47,Si,0,5,68,Plan A,11871.6,Si,No,,,,,,,,,,Otro mas largo,13130,0,0,807268.8,1705932.8,No,
1401,Mujer,59,Si,0,10,41,Ninguno,,,Si,25.5,No,Si,No,Si,No,No,No,Si,Anual,18434,0,0,0,723658,No,
1402,Hombre,49,Si,0,1,2,Plan E,4607.2,No,Si,34.5,No,No,No,No,Si,Si,Si,Si,Mensual,46566,0,0,9214.4,105700.4,Si,Mejor la Competencia
1403,Mujer,37,No,2,0,17,Ninguno,25885.6,Si,Si,28.5,No,Si,Si,Si,No,No,No,Si,Mensual,48204,0,0,440055.2,1249617.2,No,
1404,Hombre,46,Si,2,2,55,Ninguno,12844,No,No,,,,,,,,,,Otro mas largo,10062,0,0,706420,1306110,No,
1405,Mujer,54,Si,3,3,5,Ninguno,24471.2,No,Si,78,Si,No,No,No,No,No,No,No,Mensual,25688,0,5200,122356,248482,No,
1406,Mujer,48,Si,0,2,68,Ninguno,14253.2,Si,Si,13.5,Si,Si,Si,Si,No,No,No,Si,Otro mas largo,36868,25672.4,0,969217.6,3497447.2,No,
1407,Hombre,80,Si,0,2,7,Ninguno,11112.4,Si,Si,31.5,No,No,No,No,No,No,No,Si,Mensual,-5200,0,0,77786.8,354972.8,No,
1408,Mujer,50,No,0,0,6,Ninguno,20467.2,No,Si,7.5,No,No,No,No,No,No,No,Si,Mensual,36010,0,0,122803.2,340371.2,Si,Mejor la Competencia
1409,Mujer,78,No,0,0,41,Plan B,3291.6,Si,Si,22.5,No,Si,Si,No,Si,Si,No,Si,Mensual,54288,0,0,134955.6,2284609.6,No,
1414,Hombre,31,No,0,0,1,Plan E,6099.6,No,Si,36,No,No,No,No,No,No,No,Si,Mensual,23712,0,0,6099.6,29811.6,Si,Mejor la Competencia
1415,Hombre,25,Si,0,1,29,Ninguno,2080,Si,Si,72,No,No,Si,No,No,Si,Si,Si,Mensual,46384,0,0,60320,1463462,Si,Mejor la Competencia
1416,Hombre,33,Si,0,1,17,Plan D,14991.6,No,Si,7.5,No,No,Si,No,Si,Si,Si,Si,Anual,50258,0,0,254857.2,1080747.2,No,
1417,Hombre,56,Si,0,3,37,Ninguno,1118,No,No,,,,,,,,,,Mensual,10582,23436.4,0,41366,380707.6,No,
1418,Mujer,60,Si,0,1,22,Plan D,20711.6,No,Si,24,No,Si,Si,No,No,No,No,Si,Mensual,28444,0,0,455655.2,1068605.2,No,
1419,Mujer,63,No,0,0,68,Ninguno,11346.4,Si,Si,3,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,45838,18870.8,0,771555.2,3949878.4,No,
1420,Mujer,56,Si,0,10,72,Plan A,13540.8,Si,Si,9,No,Si,No,Si,Si,Si,Si,Si,Otro mas largo,41054,0,0,974937.6,3954615.6,No,
1421,Mujer,57,Si,2,1,30,Ninguno,,,Si,18,No,No,No,Si,Si,Si,Si,Si,Mensual,26624,0,0,0,811980,Si,Disconforme
1422,Mujer,70,No,0,0,31,Ninguno,8023.6,Si,Si,3,No,No,No,No,No,No,No,Si,Mensual,38428,0,0,248731.6,1401649.6,Si,Servicio Cliente
1423,Mujer,40,Si,3,10,16,Ninguno,6666.4,No,No,,,,,,,,,,Mensual,10062,17284.8,0,106662.4,232845.6,No,
1424,Hombre,56,No,0,0,65,Ninguno,2548,Si,No,,,,,,,,,,Otro mas largo,13390,21704.8,0,165620,1004385.2,No,
1425,Mujer,39,Si,0,1,5,Ninguno,7748,Si,Si,6,No,No,Si,Si,Si,No,No,No,Mensual,35334,0,10400,38740,231296,Si,Por Precio
1426,Mujer,50,No,0,0,55,Ninguno,4643.6,Si,Si,39,No,No,No,No,No,No,No,Si,Mensual,38012,0,0,255398,2410746,No,
1428,Mujer,41,Si,0,1,33,Ninguno,5376.8,Si,Si,33,No,No,Si,Si,No,Si,Si,No,Mensual,49400,0,31200,177434.4,1772872.4,No,
1429,Mujer,80,No,0,0,30,Ninguno,21803.6,Si,Si,31.5,No,Si,Si,No,Si,Si,No,Si,Otro mas largo,54132,0,0,654108,2277080,No,
1430,Hombre,49,Si,0,7,25,Plan C,6032,Si,Si,15,No,No,Si,No,No,No,No,Si,Mensual,28886,0,0,150800,881556,No,
1431,Hombre,29,No,0,0,3,Ninguno,,,Si,127.5,Si,Si,No,No,No,No,No,Si,Mensual,18434,0,0,0,55562,Si,Otra
1432,Mujer,42,No,0,0,4,Ninguno,5101.2,No,Si,45,No,Si,No,No,No,No,No,Si,Mensual,26364,0,0,20404.8,99080.8,Si,Otra
1434,Mujer,57,No,0,0,14,Plan D,5356,No,Si,43.5,No,No,No,No,Si,Si,Si,Si,Mensual,46696,0,0,74984,662116,Si,Servicio Cliente
1435,Hombre,52,No,0,0,25,Ninguno,12953.2,No,Si,27,No,No,No,No,No,No,No,No,Mensual,36894,0,10400,323830,1253252,Si,Disconforme
1436,Hombre,43,No,0,0,25,Plan C,9172.8,No,No,,,,,,,,,,Mensual,10478,0,0,229320,508222,No,
1437,Mujer,23,Si,0,1,72,Ninguno,868.4,Si,Si,88.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,60086,0,0,62524.8,4384972.8,No,
1438,Hombre,60,No,0,0,44,Ninguno,9432.8,No,No,,,,,,,,,,Anual,10140,0,0,415043.2,849503.2,No,
1439,Mujer,44,No,0,0,18,Plan D,7805.2,No,Si,33,Si,No,No,No,No,No,No,Si,Mensual,39208,0,0,140493.6,858301.6,No,
1440,Mujer,66,No,0,0,7,Plan E,13670.8,No,Si,30,No,No,Si,No,Si,No,No,No,Anual,43862,15168.4,5200,95695.6,402745.2,No,
1441,Mujer,39,Si,0,9,59,Ninguno,12901.2,Si,Si,36,No,No,Si,Si,Si,No,No,Si,Otro mas largo,37492,0,0,761170.8,2942492.8,No,
1442,Mujer,53,Si,0,7,70,Ninguno,4825.6,Si,Si,36,No,Si,Si,Si,Si,Si,Si,No,Otro mas largo,44096,0,62400,337792,3477318,No,
1443,Mujer,49,Si,4,5,40,Ninguno,25594.4,Si,No,,,,,,,,,,Mensual,13624,0,0,1023776,1584076,No,
1444,Mujer,47,No,3,0,34,Ninguno,17128.8,No,Si,31.5,Si,Si,Si,No,Si,Si,Si,No,Mensual,54782,0,57200,582379.2,2557651.2,No,
1445,Mujer,37,No,0,0,5,Plan E,23784.8,No,Si,45,No,Si,No,No,Si,No,No,No,Mensual,44356,0,5200,118924,342758,No,
1446,Hombre,63,No,0,0,1,Plan E,7342.4,No,Si,36,No,No,No,No,No,No,No,Si,Mensual,23738,0,0,7342.4,31080.4,Si,Mejor la Competencia
1447,Hombre,39,Si,2,1,68,Plan A,,,Si,28.5,Si,Si,No,No,Si,No,No,Si,Anual,23296,0,0,0,1551498,No,
1448,Mujer,40,Si,1,8,14,Plan D,7971.6,No,No,,,,,,,,,,Otro mas largo,10244,0,0,111602.4,248700.4,No,
1449,Hombre,49,No,0,0,19,Plan D,4966,No,Si,9,No,No,Si,Si,Si,No,No,Si,Mensual,46774,15412.8,0,94354,953789.2,No,
1450,Mujer,51,No,0,0,4,Plan E,5532.8,No,Si,34.5,No,Si,No,No,Si,Si,Si,Si,Mensual,35698,0,0,22131.2,157981.2,Si,Disconforme
1451,Mujer,55,Si,0,1,67,Ninguno,18376.8,Si,No,,,,,,,,,,Otro mas largo,13130,0,0,1231245.6,2132483.6,No,
1452,Mujer,70,Si,0,1,50,Plan B,4773.6,Si,Si,3,Si,Si,Si,No,Si,Si,Si,Si,Mensual,56550,0,0,238680,3063268,No,
1453,Hombre,47,No,0,0,43,Ninguno,,,Si,6,Si,No,Si,No,No,No,No,Si,Anual,18304,0,0,0,761124,No,
1454,Hombre,33,Si,0,3,59,Plan B,13296.4,No,No,,,,,,,,,,Otro mas largo,10036,0,0,784487.6,1404691.6,No,
1455,Hombre,31,No,0,0,27,Ninguno,17368,No,No,,,,,,,,,,Anual,10452,0,0,468936,761488,No,
1456,Mujer,21,Si,3,1,22,Plan D,22349.6,No,Si,45,Si,Si,Si,No,No,No,No,No,Mensual,31798,0,41600,491691.2,1272757.2,Si,Disconforme
1457,Mujer,27,Si,0,4,40,Plan B,21892,Si,Si,78,No,Si,No,No,Si,No,No,Si,Anual,33228,0,0,875680,2245880,No,
1458,Mujer,55,Si,0,1,37,Ninguno,15683.2,Si,Si,6,Si,No,Si,Si,No,Si,Si,Si,Anual,51584,0,0,580278.4,2532670.4,Si,Servicio Cliente
1459,Mujer,42,No,0,0,15,Plan D,22271.6,Si,Si,31.5,No,Si,No,No,No,No,No,Si,Mensual,41470,0,0,334074,912236,Si,Disconforme
1460,Mujer,37,No,0,0,28,Ninguno,1690,Si,Si,16.5,No,No,No,Si,No,No,No,Si,Mensual,28548,0,0,47320,829998,No,
1461,Hombre,20,Si,0,1,13,Plan D,21434.4,Si,Si,123,No,No,Si,No,Si,Si,Si,Si,Anual,39156,0,0,278647.2,793161.2,Si,Disconforme
1462,Hombre,26,No,0,0,5,Ninguno,11523.2,No,No,,,,,,,,,,Mensual,10426,0,0,57616,107302,No,
1463,Hombre,25,Si,2,1,54,Plan B,12786.8,Si,Si,78,Si,Si,No,Si,No,No,No,Si,Otro mas largo,34138,0,0,690487.2,2545171.2,No,
1464,Hombre,45,Si,2,7,63,Plan B,,,Si,24,No,Si,Si,Si,No,No,No,Si,Otro mas largo,20462,0,0,0,1245426,No,
1465,Mujer,31,Si,2,10,20,Ninguno,7690.8,No,No,,,,,,,,,,Mensual,10426,0,0,153816,364962,No,
1466,Mujer,23,No,0,0,46,Ninguno,22380.8,No,Si,106.5,Si,Si,No,Si,Si,Si,Si,Si,Anual,54704,0,0,1029516.8,3537398.8,Si,Otra
1467,Mujer,20,Si,0,8,72,Ninguno,19474,Si,Si,72,Si,Si,Si,Si,Si,Si,Si,No,Otro mas largo,48048,0,78000,1402128,5008900,No,
1468,Mujer,48,Si,0,3,71,Ninguno,5813.6,Si,No,,,,,,,,,,Otro mas largo,13312,0,0,412765.6,1394655.6,No,
1469,Hombre,22,Si,3,5,32,Plan C,18226,No,No,,,,,,,,,,Mensual,10114,0,0,583232,933998,No,
1470,Mujer,65,No,0,0,71,Ninguno,13317.2,Si,Si,34.5,No,Si,Si,No,Si,Si,Si,No,Anual,55068,3458,52000,945521.2,4905477.2,No,
1471,Mujer,69,No,0,0,71,Plan A,19442.8,Si,Si,33,Si,Si,Si,Si,Si,Si,No,No,Otro mas largo,46722,0,72800,1380438.8,4725832.8,No,
1472,Hombre,29,Si,0,2,71,Plan A,21127.6,Si,Si,103.5,Si,Si,No,Si,No,No,Si,Si,Otro mas largo,33878,2444,0,1500059.6,3932125.6,No,
1473,Hombre,22,No,0,0,22,Plan D,8200.4,No,Si,63,No,No,No,No,No,No,No,Si,Mensual,36244,0,0,180408.8,955416.8,No,
1474,Mujer,46,No,0,0,12,Ninguno,13280.8,No,Si,40.5,No,No,Si,No,Si,Si,Si,Si,Mensual,49920,0,0,159369.6,711661.6,Si,Disconforme
1475,Hombre,47,Si,3,4,68,Plan A,10270,No,No,,,,,,,,,,Otro mas largo,10374,0,0,698360,1376050,No,
1477,Mujer,68,No,0,0,29,Plan C,4617.6,Si,Si,33,Si,Si,No,No,No,No,No,Si,Otro mas largo,30446,17212,0,133910.4,1010552.4,No,
1478,Mujer,36,No,0,0,7,Ninguno,,,Si,28.5,No,Si,No,No,No,Si,Si,Si,Mensual,20852,0,0,0,152516,Si,Servicio Cliente
1479,Hombre,23,No,0,0,12,Ninguno,20831.2,No,Si,61.5,No,No,No,No,No,Si,Si,Si,Mensual,41574,0,0,249974.4,792542.4,No,
1480,Mujer,31,No,0,0,34,Plan C,22448.4,No,Si,12,Si,Si,No,No,No,No,No,Si,Anual,28600,0,0,763245.6,1743523.6,No,
1481,Mujer,27,Si,0,1,22,Ninguno,6817.2,Si,Si,76.5,Si,No,No,Si,Si,Si,Si,Si,Mensual,41184,0,0,149978.4,1056208.4,Si,Disconforme
1482,Mujer,37,No,0,0,15,Ninguno,12807.6,No,Si,19.5,No,Si,No,No,No,Si,Si,Si,Mensual,44668,0,0,192114,852280,Si,Otra
1483,Mujer,61,Si,0,10,40,Ninguno,20784.4,Si,Si,25.5,No,No,No,Si,No,No,No,Si,Mensual,41002,0,0,831376,2457338,No,
1484,Mujer,22,Si,0,5,72,Plan A,11824.8,Si,Si,72,Si,Si,No,No,No,Si,Si,Si,Otro mas largo,49114,0,0,851385.6,4450669.6,No,
1485,Mujer,57,Si,0,2,72,Plan A,,,Si,22.5,Si,Si,Si,No,No,Si,Si,Si,Otro mas largo,25584,0,0,0,1862094,No,
1486,Mujer,60,No,0,0,45,Plan B,23030.8,Si,Si,22.5,Si,No,No,Si,No,Si,Si,Si,Otro mas largo,38246,0,0,1036386,2777918,No,
1487,Hombre,47,Si,1,9,72,Ninguno,12521.6,No,Si,28.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,58214,0,0,901555.2,5078767.2,No,
1488,Mujer,38,Si,0,7,71,Plan A,10348,Si,Si,40.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,46436,0,0,734708,4056806,No,
1489,Hombre,74,Si,0,6,18,Ninguno,2979.6,No,Si,19.5,Si,No,No,No,No,Si,No,Si,Otro mas largo,30732,16146,0,53632.8,563232.8,No,
1490,Mujer,40,Si,0,1,47,Ninguno,23015.2,No,Si,34.5,No,No,Si,No,No,Si,Si,Si,Mensual,44356,0,0,1081714.4,3185452.4,Si,Otra
1491,Mujer,65,Si,1,4,68,Ninguno,,,Si,34.5,No,Si,Si,No,Si,Si,Si,Si,Otro mas largo,27560,0,0,0,1901250,No,
1492,Mujer,52,No,0,0,68,Ninguno,10556,Si,Si,19.5,No,Si,Si,No,Si,Si,Si,No,Otro mas largo,41938,0,46800,717808,3536312,No,
1493,Hombre,25,No,0,0,1,Ninguno,18756.4,No,Si,61.5,No,No,Si,No,Si,No,Si,Si,Mensual,44122,0,0,18756.4,62878.4,Si,Mejor la Competencia
1494,Mujer,59,Si,0,5,34,Ninguno,6396,Si,Si,39,Si,No,No,Si,No,No,No,Si,Mensual,31642,0,0,217464,1259336,No,
1495,Mujer,24,Si,0,2,24,Ninguno,23363.6,Si,Si,123,No,No,Si,No,No,No,Si,Si,Mensual,41418,0,0,560726.4,1563650.4,No,
1496,Hombre,71,Si,1,1,58,Plan B,9583.6,Si,Si,15,Si,Si,No,Si,No,No,No,No,Anual,46722,0,67600,555848.8,3288838.8,No,
1497,Hombre,75,No,0,0,7,Ninguno,20545.2,Si,Si,19.5,No,No,No,No,Si,No,No,No,Mensual,44096,0,0,143816.4,428230.4,Si,Mejor la Competencia
1498,Hombre,58,No,0,0,1,Plan E,665.6,No,Si,40.5,No,Si,No,No,No,No,No,Si,Mensual,26416,0,0,665.6,27081.6,Si,Mejor la Competencia
1499,Hombre,56,No,0,0,7,Ninguno,17934.8,No,Si,33,Si,No,No,No,No,No,No,Si,Mensual,26520,0,0,125543.6,309649.6,Si,Servicio Cliente
1500,Mujer,66,Si,0,8,37,Ninguno,8112,No,Si,28.5,No,No,Si,Si,Si,No,No,Si,Otro mas largo,46800,0,0,300144,2053454,No,
1501,Hombre,34,Si,1,6,52,Plan B,15366,Si,No,,,,,,,,,,Otro mas largo,12766,0,0,799032,1491178,No,
1502,Mujer,42,Si,2,9,45,Ninguno,11299.6,No,No,,,,,,,,,,Otro mas largo,10400,0,0,508482,969410,No,
1503,Hombre,60,Si,2,4,43,Ninguno,1461.2,Si,No,,,,,,,,,,Otro mas largo,12610,0,0,62831.6,623365.6,No,
1504,Mujer,23,Si,3,10,26,Ninguno,22334,No,Si,40.5,Si,Si,No,No,No,No,No,Si,Mensual,42614,0,0,580684,1657110,No,
